batter,phase,balls,runs,dismissals,fours,sixes,dots,strike_rate,balls_per_dismissal,boundary_pct,dot_pct
A Badoni,Death,327,538,24,41,25,79,164.5,13.6,20.2,24.2
A Badoni,Middle,410,516,17,41,16,126,125.9,24.1,13.9,30.7
A Mishra,Death,250,260,24,23,5,91,104.0,10.4,11.2,36.4
A Raghuvanshi,Middle,330,465,12,42,15,81,140.9,27.5,17.3,24.5
A Symonds,Middle,484,609,13,45,24,169,125.8,37.2,14.3,34.9
AB de Villiers,Death,838,1868,40,135,140,151,222.9,21.0,32.8,18.0
AB de Villiers,Middle,1959,2572,63,179,93,536,131.3,31.1,13.9,27.4
AB de Villiers,Powerplay,606,722,22,99,18,294,119.1,27.5,19.3,48.5
AC Gilchrist,Middle,430,621,27,43,38,143,144.4,15.9,18.8,33.3
AC Gilchrist,Powerplay,1033,1385,48,191,49,481,134.1,21.5,23.2,46.6
AD Mathews,Death,276,425,22,30,19,69,154.0,12.5,17.8,25.0
AD Mathews,Middle,282,289,9,14,9,94,102.5,31.3,8.2,33.3
AD Russell,Death,731,1432,57,99,128,253,195.9,12.8,31.1,34.6
AD Russell,Middle,777,1182,34,83,92,321,152.1,22.9,22.5,41.3
AJ Finch,Middle,659,899,30,72,39,203,136.4,22.0,16.8,30.8
AJ Finch,Powerplay,793,910,40,120,25,372,114.8,19.8,18.3,46.9
AK Markram,Middle,695,889,29,53,31,172,127.9,24.0,12.1,24.7
AK Markram,Powerplay,374,486,14,57,18,162,129.9,26.7,20.1,43.3
AL Menaria,Middle,268,296,12,15,14,103,110.4,22.3,10.8,38.4
AM Nayar,Middle,307,297,15,17,7,112,96.7,20.5,7.8,36.5
AM Rahane,Death,323,509,22,45,19,73,157.6,14.7,19.8,22.6
AM Rahane,Middle,1710,2099,75,145,47,427,122.7,22.8,11.2,25.0
AM Rahane,Powerplay,2240,2759,81,350,75,986,123.2,27.7,19.0,44.0
AP Tare,Powerplay,202,226,13,27,7,100,111.9,15.5,16.8,49.5
AR Patel,Death,656,1012,55,58,57,152,154.3,11.9,17.5,23.2
