batter,phase,balls,strike_rate,league_sr,sr_vs_league,dot_pct,balls_per_dismissal
S Badrinath,Powerplay,237,76.8,129.0,-52.2,61.2,39.5
MK Tiwary,Powerplay,230,97.4,129.0,-31.6,51.3,23.0
JP Duminy,Powerplay,239,98.3,129.0,-30.7,54.0,39.8
KD Karthik,Powerplay,402,98.5,129.0,-30.5,52.2,40.2
JH Kallis,Middle,1012,98.5,128.5,-30.0,31.6,32.6
KS Williamson,Powerplay,477,100.4,129.0,-28.6,50.3,34.1
NV Ojha,Death,294,139.8,168.3,-28.5,36.4,10.9
AT Rayudu,Powerplay,732,106.1,129.0,-22.9,50.4,31.8
Mandeep Singh,Death,274,149.6,168.3,-18.7,22.3,11.0
WP Saha,Middle,900,109.8,128.5,-18.7,30.4,23.7
MK Pandey,Death,471,151.4,168.3,-16.9,23.1,14.3
SR Watson,Powerplay,1257,112.6,129.0,-16.4,51.9,31.4
SS Iyer,Powerplay,910,113.4,129.0,-15.6,47.6,27.6
DPMD Jayawardene,Middle,728,113.0,128.5,-15.5,33.1,25.1
Shubman Gill,Death,304,155.9,168.3,-12.4,23.0,13.2
SPD Smith,Middle,1095,116.8,128.5,-11.7,27.9,28.1
RR Pant,Powerplay,403,118.1,129.0,-10.9,47.6,40.3
AM Rahane,Death,323,157.6,168.3,-10.7,22.6,14.7
AB de Villiers,Powerplay,606,119.1,129.0,-9.9,48.5,27.5
S Dhawan,Death,421,158.7,168.3,-9.6,24.9,22.2
N Rana,Powerplay,664,121.2,129.0,-7.8,51.5,30.2
YK Pathan,Death,701,160.6,168.3,-7.7,26.2,15.6
RG Sharma,Middle,2643,122.5,128.5,-6.0,31.1,25.9
RV Uthappa,Powerplay,1636,124.4,129.0,-4.6,43.7,25.6
V Kohli,Middle,3407,125.8,128.5,-2.7,27.2,34.4
F du Plessis,Middle,1526,126.1,128.5,-2.4,24.8,29.3
MP Stoinis,Powerplay,250,127.2,129.0,-1.8,50.0,25.0
SV Samson,Powerplay,1271,127.4,129.0,-1.6,46.1,24.9
KL Rahul,Powerplay,1883,128.7,129.0,-0.3,42.3,43.8
SK Raina,Death,527,170.6,168.3,2.3,19.7,20.3
CH Gayle,Powerplay,1761,134.8,129.0,5.8,51.3,27.5
DA Warner,Middle,1944,134.8,128.5,6.3,26.5,30.9
Ishan Kishan,Powerplay,1103,138.2,129.0,9.2,44.8,32.4
SA Yadav,Death,468,178.2,168.3,9.9,29.9,10.6
GJ Maxwell,Death,340,178.5,168.3,10.2,28.8,11.0
JC Buttler,Powerplay,1306,142.0,129.0,13.0,44.6,30.4
