bowler,phase,balls,runs,wickets,dots,boundaries,economy,strike_rate,dot_pct,boundary_pct
A Kamboj,Powerplay,282,433,13,117,70,9.21,21.7,41.5,24.8
A Kumble,Middle,690,734,25,252,71,6.38,27.6,36.5,10.3
A Mishra,Death,521,792,42,167,94,9.12,12.4,32.1,18.0
A Mishra,Middle,2712,3089,125,952,301,6.83,21.7,35.1,11.1
A Nehra,Death,527,746,54,160,91,8.49,9.8,30.4,17.3
A Nehra,Middle,288,342,12,101,42,7.12,24.0,35.1,14.6
A Nehra,Powerplay,1093,1317,40,537,219,7.23,27.3,49.1,20.0
A Nortje,Death,440,711,27,135,99,9.7,16.3,30.7,22.5
A Nortje,Middle,236,320,12,83,42,8.14,19.7,35.2,17.8
A Nortje,Powerplay,444,580,22,204,98,7.84,20.2,45.9,22.1
A Singh,Powerplay,264,278,11,125,40,6.32,24.0,47.3,15.2
A Symonds,Middle,330,412,11,106,45,7.49,30.0,32.1,13.6
A Zampa,Middle,336,432,16,95,42,7.71,21.0,28.3,12.5
AB Agarkar,Middle,420,539,16,137,66,7.7,26.2,32.6,15.7
AB Dinda,Death,412,733,26,107,106,10.67,15.8,26.0,25.7
AB Dinda,Middle,294,301,10,112,29,6.14,29.4,38.1,9.9
AB Dinda,Powerplay,810,927,33,408,151,6.87,24.5,50.4,18.6
AD Mathews,Middle,510,651,12,136,72,7.66,42.5,26.7,14.1
AD Russell,Death,586,1018,51,174,149,10.42,11.5,29.7,25.4
AD Russell,Middle,813,1202,49,256,164,8.87,16.6,31.5,20.2
AD Russell,Powerplay,407,536,23,182,88,7.9,17.7,44.7,21.6
AJ Tye,Death,288,434,24,77,55,9.04,12.0,26.7,19.1
AJ Tye,Middle,204,268,7,44,29,7.88,29.1,21.6,14.2
AM Nayar,Middle,217,292,8,65,32,8.07,27.1,30.0,14.7
AR Patel,Death,382,535,22,118,63,8.4,17.4,30.9,16.5
AR Patel,Middle,2507,2940,96,778,283,7.04,26.1,31.0,11.3
AR Patel,Powerplay,690,888,21,269,124,7.72,32.9,39.0,18.0
AS Rajpoot,Powerplay,270,384,9,116,65,8.53,30.0,43.0,24.1
Abhishek Sharma,Middle,258,354,10,67,40,8.23,25.8,26.0,15.5
Arshdeep Singh,Death,676,1058,53,196,142,9.39,12.8,29.0,21.0
Arshdeep Singh,Middle,360,518,15,99,67,8.63,24.0,27.5,18.6
Arshdeep Singh,Powerplay,996,1377,43,419,228,8.3,23.2,42.1,22.9
Avesh Khan,Death,652,1010,44,179,134,9.29,14.8,27.5,20.6
Avesh Khan,Middle,510,683,27,179,91,8.04,18.9,35.1,17.8
Avesh Khan,Powerplay,605,944,22,252,161,9.36,27.5,41.7,26.6
Azhar Mahmood,Death,207,319,17,56,46,9.25,12.2,27.1,22.2
B Kumar,Death,1605,2392,118,419,297,8.94,13.6,26.1,18.5
B Kumar,Middle,452,633,11,121,78,8.4,41.1,26.8,17.3
B Kumar,Powerplay,2543,2665,97,1357,415,6.29,26.2,53.4,16.3
B Lee,Death,311,426,10,92,50,8.22,31.1,29.6,16.1
B Lee,Powerplay,486,532,11,251,89,6.57,44.2,51.6,18.3
BA Stokes,Death,204,312,14,56,40,9.18,14.6,27.5,19.6
BA Stokes,Middle,299,362,6,94,43,7.26,49.8,31.4,14.4
BB Sran,Powerplay,228,330,5,98,54,8.68,45.6,43.0,23.7
BW Hilfenhaus,Powerplay,240,231,12,133,35,5.78,20.0,55.4,14.6
Bipul Sharma,Middle,318,400,11,86,35,7.55,28.9,27.0,11.0
C Green,Middle,306,409,13,101,53,8.02,23.5,33.0,17.3
CH Gayle,Middle,282,324,6,84,31,6.89,47.0,29.8,11.0
CH Morris,Death,646,900,58,183,106,8.36,11.1,28.3,16.4
CH Morris,Middle,396,493,16,150,64,7.47,24.8,37.9,16.2
CH Morris,Powerplay,678,808,21,333,127,7.15,32.3,49.1,18.7
CJ Jordan,Death,278,501,15,70,73,10.81,18.5,25.2,26.3
CJ Jordan,Middle,246,300,12,76,33,7.32,20.5,30.9,13.4
CV Varun,Death,328,467,19,116,56,8.54,17.3,35.4,17.1
CV Varun,Middle,1422,1726,76,501,192,7.28,18.7,35.2,13.5
CV Varun,Powerplay,384,491,15,156,73,7.67,25.6,40.6,19.0
DE Bollinger,Death,234,282,23,88,30,7.23,10.2,37.6,12.8
DE Bollinger,Powerplay,324,365,11,158,61,6.76,29.5,48.8,18.8
DJ Bravo,Death,1385,2064,115,398,252,8.94,12.0,28.7,18.2
DJ Bravo,Middle,1507,1812,58,488,204,7.21,26.0,32.4,13.5
DJ Bravo,Powerplay,228,284,10,112,45,7.47,22.8,49.1,19.7
DJ Hooda,Middle,264,343,6,64,34,7.8,44.0,24.2,12.9
DJ Hussey,Middle,228,301,6,62,30,7.92,38.0,27.2,13.2
DL Chahar,Death,205,322,16,53,39,9.42,12.8,25.9,19.0
DL Chahar,Middle,258,344,8,74,38,8.0,32.2,28.7,14.7
DL Chahar,Powerplay,1605,2080,72,744,339,7.78,22.3,46.4,21.1
DL Vettori,Middle,522,555,19,182,53,6.38,27.5,34.9,10.2
DP Nannes,Death,208,293,13,70,42,8.45,16.0,33.7,20.2
DP Nannes,Powerplay,342,326,15,184,48,5.72,22.8,53.8,14.0
DR Smith,Middle,402,516,15,127,60,7.7,26.8,31.6,14.9
DS Kulkarni,Death,344,542,22,103,68,9.45,15.6,29.9,19.8
DS Kulkarni,Middle,425,576,20,140,74,8.13,21.2,32.9,17.4
DS Kulkarni,Powerplay,1018,1236,44,499,210,7.28,23.1,49.0,20.6
DS Rathi,Middle,324,462,10,85,54,8.56,32.4,26.2,16.7
DT Christian,Death,211,351,12,51,45,9.98,17.6,24.2,21.3
DT Christian,Middle,492,558,18,165,57,6.8,27.3,33.5,11.6
DW Steyn,Death,634,840,50,218,107,7.95,12.7,34.4,16.9
DW Steyn,Middle,408,429,13,177,55,6.31,31.4,43.4,13.5
DW Steyn,Powerplay,1134,1109,34,624,173,5.87,33.4,55.0,15.3
GB Hogg,Middle,318,383,12,98,39,7.23,26.5,30.8,12.3
GD McGrath,Powerplay,222,207,8,127,32,5.59,27.8,57.2,14.4
GJ Maxwell,Middle,702,927,27,218,101,7.92,26.0,31.1,14.4
GJ Maxwell,Powerplay,258,362,11,98,50,8.42,23.5,38.0,19.4
HH Pandya,Death,320,616,32,96,89,11.55,10.0,30.0,27.8
HH Pandya,Middle,1012,1351,37,312,160,8.01,27.4,30.8,15.8
HH Pandya,Powerplay,432,672,13,176,123,9.33,33.2,40.7,28.5
HV Patel,Death,856,1327,81,264,175,9.3,10.6,30.8,20.4
HV Patel,Middle,1260,1606,56,392,194,7.65,22.5,31.1,15.4
HV Patel,Powerplay,390,572,14,151,94,8.8,27.9,38.7,24.1
Harbhajan Singh,Death,273,365,25,91,41,8.02,10.9,33.3,15.0
Harbhajan Singh,Middle,2370,2667,91,792,266,6.75,26.0,33.4,11.2
Harbhajan Singh,Powerplay,773,893,30,380,134,6.93,25.8,49.2,17.3
Harmeet Singh,Middle,324,394,11,107,47,7.3,29.5,33.0,14.5
Harpreet Brar,Middle,648,770,31,217,73,7.13,20.9,33.5,11.3
Harshit Rana,Powerplay,294,451,16,132,76,9.2,18.4,44.9,25.9
