season_year,matches,runs,legal_balls,fours,sixes,dots,wickets,run_rate,boundary_pct,dot_pct,sixes_per_match
2008,58,17937,12950,1703,623,4916,690,8.31,18.0,38.0,10.7
2009,57,16320,13085,1317,506,5118,697,7.48,13.9,39.1,8.9
2010,60,18864,13929,1708,585,4992,722,8.13,16.5,35.8,9.8
2011,73,21154,16425,1916,639,6282,813,7.73,15.6,38.2,8.8
2012,74,22453,17208,1911,733,6241,858,7.83,15.4,36.3,9.9
2013,76,22541,17613,2052,675,6755,910,7.68,15.5,38.4,8.9
2014,60,18909,13833,1562,714,5017,672,8.2,16.5,36.3,11.9
2015,59,18332,13141,1607,692,4771,687,8.37,17.5,36.3,11.7
2016,60,18862,13618,1633,639,4649,666,8.31,16.7,34.1,10.6
2017,59,18769,13390,1611,705,4547,709,8.41,17.3,34.0,11.9
2018,60,19901,13808,1652,872,4753,722,8.65,18.3,34.4,14.5
2019,60,19400,13837,1653,784,4932,681,8.41,17.6,35.6,13.1
2020,60,19352,14007,1583,735,4868,668,8.29,16.5,34.8,12.2
2021,60,18622,13876,1549,687,5019,717,8.05,16.1,36.2,11.4
2022,74,24395,17138,2020,1062,6355,912,8.54,18.0,37.1,14.4
2023,74,25688,17137,2175,1124,5817,916,8.99,19.3,33.9,15.2
2024,71,25971,16299,2175,1261,5368,883,9.56,21.1,32.9,17.8
2025,74,26503,16507,2260,1301,5338,871,9.63,21.6,32.3,17.6
2026,74,27450,16664,2333,1426,5450,880,9.88,22.6,32.7,19.3
